price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url
37000000.0,10.0,Marla,Lahore,Bankers Town,House,5.0,5.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_new_luxury_house_for_sale-53674259-8325-1.html
31500000.0,10.0,Marla,Lahore,Park Vie,House,5.0,6.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_10_marla_brand_new_house_in_park_view_city_lahore-53589733-1466-1.html
21000000.0,8.0,Marla,Lahore,Other,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/marghzar_officers_colony_marghzar_officers_colony_-_block_r_8_marla_double_story_sami_commercial_house_at_jut_chowk_near_margazar-54247037-4024-1.html
130000000.0,1.0,Kanal,Lahore,Other,House,4.0,5.0,2020.0,2.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/township_township_-_sector_a1_1_kanal_double_storey_commercial_house_for_sale-54214917-4254-1.html
18500000.0,3.5,Marla,Lahore,Sabzazar Scheme,House,5.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_-_block_p_3_5_marla_vip_house_for_sale-53397154-4178-1.html
27500000.0,5.0,Marla,Lahore,Sabzazar Scheme,House,3.0,4.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_-_block_l_5_marla_vip_brand_new_house_for_sale-53900423-4175-1.html
8500000.0,3.0,Marla,Lahore,Other,House,6.0,7.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_green_cap_housing_society_3_marla_house_for_sale_in_green_cap_housing_society-54140911-8150-1.html
26500000.0,7.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,0.0,0.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_green_cap_housing_society_your_search_for_house_in_green_cap_housing_society_ends_here-54140913-8150-1.html
112500000.0,1.0,Kanal,Lahore,Dha Defe,House,6.0,6.0,2020.0,4.0,2.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_h_with_extra_land_corner_villa_near_park-52579885-1605-1.html
21000000.0,5.0,Marla,Lahore,Sabzazar Scheme,House,5.0,7.0,2020.0,1.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_5_marla_vvip_house_for_sale_in_hot_location_golden_chance_for_investment-53181122-562-1.html
