price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
11500000,640.0,Square Feet,Lahore,Other,House,7.0,8.0,2020.0,1.0,2.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_gt_road_640_square_feet_half_triple_storey_house_for_sale_in_dhobi_ghaat_g_t_road_lahore-53479424-472-1.html,2.35,6.0,15.0,3.0,1.142855510206414,37411065.57377049
32500000,5.0,Marla,Lahore,DHA Defence,House,3.0,2.0,2020.0,1.0,0.0,0.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5-marla_brand_new_hosue_for_sae_ph-9_town_ultra_modren-54203168-1452-1.html,5.0,6.0,2031.0,1.0,0.6666644444518518,81496093.75
13500000,3.0,Marla,Lahore,Other,House,3.0,4.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/gt_road_al-ahmad_garden_housing_scheme_3_marla_corner_or_non_corner_pair_brand_house_for_sale-54035931-9707-1.html,3.0,6.0,7.0,0.0,1.3333288889037036,37411065.57377049
26500000,5.0,Marla,Lahore,DHA Defence,House,3.0,4.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_3_bed_room_house_available_for_sale_in_askari_11-54184749-8173-1.html,5.0,6.0,7.0,3.0,1.3333288889037036,81496093.75
26000000,5.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/al_hafeez_gardens_al_hafeez_garden_-_phase_5_5_marla_turkish_style_house_for_sale-53919472-18829-1.html,5.0,6.0,6.0,0.0,0.9999966666777778,37411065.57377049
34000000,7.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,1.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_7marla_brand_new_house_for_sale_in_rehman_garden_prime_location_reasonable_price-54248921-4506-1.html,7.0,6.0,2035.0,2027.0,1.2499968750078125,37411065.57377049
23000000,5.0,marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_5marla_brand_new_house_for_sale_in_al_rehman_garden_phase2-54248919-4506-1.html,5.0,6.0,2036.0,2026.0,0.9999980000040001,37411065.57377049
30000000,6.0,Marla,Lahore,Other,House,4.0,4.0,2020.0,1.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_hot_deal_6_marla_brand_new_house_for_sale_ideal_location_reasonable_demand-54248917-4506-1.html,6.0,6.0,2034.0,2027.0,0.9999975000062501,37411065.57377049
30000000,6.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,1.0,0.0,0.0,2.0,0.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_6_marla_semi_furnished_house_with_10kva_solar_for_sale_in_al_rehman_garden_phase_2_prime_location_near_joyland-54248916-4506-1.html,6.0,6.0,12.0,1.0,0.9999980000040001,37411065.57377049
30000000,5.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,8.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_5_marla_2_5_storey_house_for_sale_in_al_rehman_garden_solid_construction_prime_location-54248914-4506-1.html,5.0,6.0,12.0,9.0,0.9999980000040001,37411065.57377049
